comment, score
0, 0.5
1, 0.5
2, 0.625
3, 0.5
4, 0.5
5, 0.5
6, 0.25
7, 0.333333
8, 0.2
9, 0
10, 0.5
11, 0
12, 0.5
13, 0.2
14, 0.25
15, 0.5
16, 0.166667
17, 0.333333
18, 0
19, 0
20, 0
21, 0.666667
22, 0.444444
23, 0
24, 0
25, 0.5
26, 0.5
27, 0.5
28, 0.333333
29, 0
30, 0
31, 0
32, 0.5
33, 0.5
34, 0
35, 0
36, 0.5
37, 0.875
38, 0.5
39, 0.25
40, 0.5
41, 0.4
42, 0.666667
43, 0.25
44, 0.5
45, 0
46, 0
47, 0.5
48, 0.5
49, 0
50, 0.5
51, 0.4
52, 1
53, 0.5
54, 0.666667
55, 0.5
56, 0
57, 0
58, 0.5
59, 0.125
60, 0.5
61, 0.5
62, 0.5
63, 0.5
64, 0
65, 0
66, 0.6
67, 0.5
68, 1
69, 0
70, 0.5
71, 0.2
72, 0
73, 0.5
74, 0.5
75, 0.333333
76, 0
77, 0
78, 0
79, 0
80, 0.5
81, 0
82, 0.5
83, 0.5
84, 0
85, 0
86, 0
87, 0
88, 0
89, 0
90, 0.5
91, 1
92, 0
93, 0.5
94, 0
95, 0.666667
96, 0.5
97, 0.5
98, 0.5
99, 0.5
